species,trait1,trait2,trait3,trait4,trait5,trait6
spA,0.209,-0.776,0.527,-0.025,-0.738,-0.177
spA,1.036,0.301,0.235,0.51,-0.78,0.116
spA,0.574,-0.235,0.518,-0.19,0.055,0.376
spA,-0.959,0.595,-1.224,-0.108,0.313,-0.059
spA,-0.233,-0.547,0.813,-0.761,0.364,0.072
spA,-0.096,-0.292,-0.209,0.633,0.166,-0.76
spA,0.298,-0.432,0.947,-0.475,0.602,0.083
spA,-0.081,-0.339,-0.101,-0.437,-0.153,-0.514
spA,-0.59,-0.19,-0.601,-0.176,-0.655,-0.336
spA,1.5,0.028,0.423,-0.688,-0.527,0.208
spA,-0.012,0.454,-0.301,0.057,-0.493,0.182
spA,0.18,-0.135,0.182,-0.167,0.043,0.219
spA,0.456,-0.215,0.698,0.082,-0.353,0.152
spA,1.348,-0.67,0.685,-0.747,-0.091,0.888
spA,0.744,0.085,0.02,0.216,-0.326,-0.293
spA,0.355,0.099,-0.084,-0.203,-0.88,0.295
spA,0.773,0.116,0.783,0.244,-0.004,0.252
spA,0.454,-0.265,1.407,-0.026,-0.533,0.317
spA,0.626,-0.702,0.861,0.153,-0.755,0.694
spA,0.813,-0.632,1.189,0.529,-0.205,0.895
spA,0.58,-0.014,-0.03,0.491,0.038,0.107
spA,0.105,0.065,0.265,-0.467,-0.936,0.383
spA,-0.801,0.103,0.061,0.854,-0.447,0.43
spA,0.302,0.057,0.668,-0.031,0.298,-0.397
spA,0.647,0.461,0.63,1.158,-0.582,-0.59
spA,0.003,0.33,0.549,0.251,-0.761,0.483
spA,-0.112,0.579,1.729,0.383,0.092,-0.146
spA,-0.405,-0.301,-0.246,-0.524,0.661,0.236
spA,0.69,-0.155,0.214,0.682,-0.216,0.365
spA,0.402,-0.171,-0.403,-0.789,-0.331,0.128
spB,-0.943,0.583,-0.373,-0.978,-0.158,0.104
spB,-0.106,0.023,-0.321,0.611,0.689,-0.148
spB,-0.534,0.285,-0.166,0.198,0.615,-0.034
spB,0.109,0.647,-0.008,0.535,-0.102,-1.004
spB,0.472,0.728,-1.257,-0.257,0.686,-0.24
spB,-0.556,1.3,-0.924,-0.299,0.406,0.095
spB,-0.052,1.056,-0.301,0.345,0.17,-0.069
spB,-0.246,0.708,-0.014,0.378,0.322,-0.505
spB,-0.266,0.586,-0.303,1.203,0.038,0.111
spB,0.234,0.649,0.769,-0.089,0.462,-0.499
spB,-0.476,0.724,0.023,0.26,0.93,-0.147
spB,-0.466,1.952,-0.203,-0.26,-0.047,-0.571
spB,0.168,0.418,-0.336,0.068,0.666,-0.523
spB,-0.838,0.712,-0.1,0.266,-0.105,0.239
spB,-0.672,0.339,-0.872,0.751,0.617,0.202
spB,0.324,2.006,-1.255,-0.269,-0.008,-0.525
spB,-0.839,0.45,-1.008,0.268,0.326,0.141
spB,-0.046,0.902,-0.587,1.161,0.417,-1.031
spB,-0.801,-0.27,-0.391,0.039,0.066,0.905
spB,-0.026,0.963,-0.866,-0.4,0.318,-0.013
spB,-1.228,0.51,-0.393,-0.008,-0.107,-0.37
spB,-0.388,0.645,-0.098,0.64,0.153,-0.328
spB,-0.081,0.905,-0.617,0.495,0.79,0.546
spB,0.589,0.167,-0.393,0.106,0.251,-0.425
spB,-1.043,0.646,-0.784,0.143,-0.097,-0.65
spB,-0.183,0.675,-0.11,1.193,0.439,0.143
spB,-0.839,-0.043,0.391,-0.362,-0.222,-0.12
spB,-0.345,0.149,-0.552,0.715,-0.103,-0.797
spB,0.171,0.846,-0.71,-0.691,-0.072,-0.127
spB,0.283,0.082,-0.442,0.438,-0.891,0.417
spC,-0.491,-0.334,0.223,0.142,0.475,-0.989
spC,-0.292,-0.431,0.003,-0.161,0.595,0.504
spC,-0.007,-1.423,-0.128,-0.192,-0.345,0.516
spC,0.554,-0.437,-1.432,-1.039,1.143,-0.073
spC,-0.892,0.118,0.107,0.152,0.338,0.429
spC,0.282,-0.151,1.239,0.086,-0.59,0.423
spC,0.671,0.101,-0.113,0.182,0.664,1.486
spC,-0.275,-0.754,-0.053,-0.645,-0.245,-1.181
spC,-0.117,-0.315,-0.147,0.568,0.207,0.846
spC,0.231,-0.087,0.24,0.284,0.228,0.448
spC,0.283,-0.644,0.302,0.717,0.065,0.41
spC,0.729,0.07,0.106,-1.592,0.458,-0.91
spC,0.835,-0.415,0.6,-0.851,-0.576,0.33
spC,0.083,-0.746,0.142,0.984,0.617,0.725
spC,0.522,0.24,0.005,-1.427,0.106,0.606
spC,-0.385,-0.588,-0.246,0.351,0.575,0.526
spC,0.411,-0.519,0.199,-0.993,-0.893,0.275
spC,0.262,0.105,0.886,0.385,-0.299,0.024
spC,0.34,0.766,0.84,0.16,0.006,-0.242
spC,0.494,-1.05,-0.019,-0.457,0.996,0.023
spC,-1.12,-0.248,-0.25,-0.379,0.157,0.063
spC,0.495,-1.266,-0.159,-0.058,-0.107,-0.604
spC,0.434,0.062,0.078,-1.38,0.553,-0.63
spC,0.254,-0.944,-0.48,-0.621,0.108,-0.122
spC,0.394,-0.723,0.59,-0.259,-0.149,-0.233
spC,-0.724,-0.355,-0.077,-1.586,-0.068,-0.251
spC,0.888,-1.351,-0.621,0.155,0.878,-0.172
spC,-0.216,-0.192,-1.064,-1.331,0.06,0.975
spC,-0.118,-0.45,0.667,0.653,-0.088,0.192
spC,1.011,-1.261,0.614,-0.909,0.251,0.079
